Date,Ranking,NationalTeam
Dec-96,56,Cameroon
Dec-96,63,Nigeria
Dec-96,72,Costa Rica
Dec-96,83,Iran
Feb-97,1,Brazil
Feb-97,2,Germany
Feb-97,3,France
Feb-97,5,Colombia
Feb-97,7,Spain
Feb-97,8,Russia
Feb-97,9,Netherlands
Feb-97,10,Italy
Feb-97,11,Mexico
Feb-97,12,England
Feb-97,13,Portugal
Feb-97,18,Argentina
Feb-97,19,Japan
Feb-97,21,Chile
Feb-97,22,United States
Feb-97,25,Croatia
Feb-97,33,Australia
Feb-97,35,Ecuador
Feb-97,38,Ghana
Feb-97,40,Greece
Feb-97,41,South Korea
Feb-97,43,Uruguay
Feb-97,44,Belgium
Feb-97,46,Honduras
Feb-97,47,Ivory Coast
Feb-97,51,Switzerland
Feb-97,53,Algeria
Feb-97,54,Bosnia-Herzegovina
Feb-97,59,Cameroon
Feb-97,64,Nigeria
Feb-97,66,Costa Rica
Feb-97,81,Iran
Apr-97,1,Brazil
Apr-97,2,Germany
Apr-97,3,France
Apr-97,4,Spain
Apr-97,7,Italy
Apr-97,8,Colombia
Apr-97,10,Netherlands
Apr-97,11,Russia
Apr-97,12,Mexico
Apr-97,14,England
Apr-97,15,Portugal
Apr-97,16,Japan
Apr-97,19,Argentina
Apr-97,21,United States
Apr-97,26,Chile
Apr-97,28,Croatia
Apr-97,29,Greece
Apr-97,33,Australia
Apr-97,34,South Korea
Apr-97,35,Ecuador
Apr-97,39,Belgium
Apr-97,40,Ghana
Apr-97,42,Uruguay
Apr-97,43,Ivory Coast
Apr-97,50,Honduras
Apr-97,51,Switzerland
Apr-97,56,Algeria
Apr-97,57,Costa Rica
Apr-97,62,Cameroon
Apr-97,71,Nigeria
Apr-97,87,Iran
Apr-97,116,Bosnia-Herzegovina
May-97,1,Brazil
May-97,2,Germany
May-97,4,France
May-97,5,Spain
May-97,6,Italy
May-97,7,Netherlands
May-97,10,Russia
May-97,11,Colombia
May-97,12,Mexico
May-97,13,England
May-97,16,Portugal
May-97,18,Japan
May-97,21,Argentina
May-97,26,United States
May-97,27,Chile
May-97,28,Croatia
May-97,31,Belgium
May-97,34,Australia
May-97,35,Ghana
May-97,36,South Korea
May-97,37,Greece
May-97,40,Ecuador
May-97,41,Cameroon
May-97,45,Honduras
May-97,50,Ivory Coast
May-97,53,Costa Rica
May-97,54,Uruguay
May-97,56,Switzerland
May-97,59,Algeria
May-97,61,Nigeria
May-97,73,Iran
May-97,116,Bosnia-Herzegovina
Jun-97,1,Brazil
Jun-97,2,Germany
Jun-97,3,Spain
Jun-97,5,France
Jun-97,7,England
Jun-97,8,Russia
Jun-97,9,Italy
Jun-97,10,Netherlands
Jun-97,12,Mexico
Jun-97,13,Colombia
Jun-97,16,Argentina
Jun-97,17,Japan
Jun-97,21,Portugal
Jun-97,26,United States
Jun-97,27,Chile
Jun-97,29,Croatia
Jun-97,31,Belgium
Jun-97,32,South Korea
Jun-97,33,Australia
Jun-97,36,Ghana
Jun-97,38,Ecuador
Jun-97,41,Greece
Jun-97,45,Cameroon
Jun-97,47,Honduras
Jun-97,51,Uruguay
Jun-97,52,Ivory Coast
Jun-97,53,Costa Rica
Jun-97,54,Nigeria
Jun-97,56,Iran
Jun-97,60,Algeria
Jun-97,61,Switzerland
Jun-97,115,Bosnia-Herzegovina
Jul-97,1,Brazil
Jul-97,2,Spain
Jul-97,5,Germany
Jul-97,6,Netherlands
Jul-97,7,Russia
Jul-97,8,England
Jul-97,9,Italy
Jul-97,10,Mexico
Jul-97,11,France
Jul-97,12,Colombia
Jul-97,13,Argentina
Jul-97,17,Japan
Jul-97,26,United States
Jul-97,27,Chile
Jul-97,29,Portugal
Jul-97,30,Ecuador
Jul-97,31,Australia
Jul-97,32,Croatia
Jul-97,34,South Korea
Jul-97,36,Belgium
Jul-97,40,Greece
Jul-97,42,Ghana
Jul-97,44,Uruguay
Jul-97,45,Ivory Coast
Jul-97,46,Cameroon
Jul-97,48,Honduras
Jul-97,54,Costa Rica
Jul-97,57,Iran
Jul-97,58,Nigeria
Jul-97,60,Algeria
Jul-97,63,Switzerland
Jul-97,115,Bosnia-Herzegovina
Aug-97,1,Brazil
Aug-97,2,Spain
Aug-97,4,Germany
Aug-97,5,Russia
Aug-97,6,Netherlands
Aug-97,7,England
Aug-97,8,Italy
Aug-97,9,Mexico
Aug-97,10,Colombia
Aug-97,11,France
Aug-97,13,Argentina
Aug-97,17,Japan
Aug-97,23,Chile
Aug-97,28,United States
Aug-97,29,Ecuador
Aug-97,30,Portugal
Aug-97,32,Australia
Aug-97,33,Croatia
Aug-97,34,South Korea
Aug-97,38,Belgium
Aug-97,40,Ivory Coast
Aug-97,41,Ghana
Aug-97,45,Cameroon
Aug-97,46,Greece
Aug-97,47,Algeria
Aug-97,49,Honduras
Aug-97,50,Uruguay
Aug-97,56,Costa Rica
Aug-97,59,Nigeria
Aug-97,60,Iran
Aug-97,64,Switzerland
Aug-97,117,Bosnia-Herzegovina
Sep-97,1,Brazil
Sep-97,2,Germany
Sep-97,4,Netherlands
Sep-97,6,Spain
Sep-97,7,England
Sep-97,9,Colombia
Sep-97,10,Argentina
Sep-97,11,Mexico
Sep-97,12,Italy
Sep-97,16,Russia
Sep-97,17,France
Sep-97,18,Japan
Sep-97,24,Portugal
Sep-97,29,Chile
Sep-97,30,Ecuador
Sep-97,32,United States
Sep-97,33,Croatia
Sep-97,35,South Korea
Sep-97,36,Australia
Sep-97,41,Greece
Sep-97,44,Cameroon
Sep-97,45,Ghana
Sep-97,46,Ivory Coast
Sep-97,47,Uruguay
Sep-97,48,Belgium
Sep-97,51,Algeria
Sep-97,53,Iran
Sep-97,55,Costa Rica
Sep-97,57,Honduras
Sep-97,63,Nigeria
Sep-97,65,Switzerland
Sep-97,103,Bosnia-Herzegovina
Oct-97,1,Brazil
Oct-97,2,Spain
Oct-97,3,Germany
Oct-97,7,England
Oct-97,8,Netherlands
Oct-97,9,Russia
Oct-97,10,Mexico
Oct-97,11,Colombia
Oct-97,13,Argentina
Oct-97,14,France
Oct-97,16,Italy
Oct-97,20,Japan
Oct-97,21,Portugal
Oct-97,27,Chile
Oct-97,29,Croatia
Oct-97,31,Ecuador
Oct-97,33,Australia
Oct-97,34,South Korea
Oct-97,35,United States
Oct-97,41,Greece
Oct-97,44,Cameroon
Oct-97,46,Ivory Coast
Oct-97,48,Belgium
Oct-97,49,Iran
Oct-97,50,Ghana
Oct-97,52,Uruguay
Oct-97,53,Algeria
Oct-97,56,Costa Rica
Oct-97,61,Honduras
Oct-97,64,Switzerland
Oct-97,67,Nigeria
Oct-97,101,Bosnia-Herzegovina
Nov-97,1,Brazil
Nov-97,2,Germany
Nov-97,3,Spain
Nov-97,6,England
Nov-97,7,France
Nov-97,9,Colombia
Nov-97,10,Italy
Nov-97,11,Mexico
Nov-97,12,Netherlands
Nov-97,13,Russia
Nov-97,17,Chile
Nov-97,18,Japan
Nov-97,19,Argentina
Nov-97,21,Croatia
Nov-97,27,Portugal
Nov-97,28,Ecuador
Nov-97,29,United States
Nov-97,31,South Korea
Nov-97,32,Australia
Nov-97,40,Greece
Nov-97,41,Belgium
Nov-97,43,Uruguay
Nov-97,48,Ivory Coast
Nov-97,50,Iran
Nov-97,51,Cameroon
Nov-97,52,Costa Rica
Nov-97,53,Ghana
Nov-97,55,Algeria
Nov-97,62,Switzerland
Nov-97,65,Honduras
Nov-97,71,Nigeria
Nov-97,101,Bosnia-Herzegovina
Dec-97,1,Brazil
Dec-97,2,Germany
Dec-97,4,England
Dec-97,5,Mexico
Dec-97,6,France
Dec-97,9,Italy
Dec-97,10,Colombia
Dec-97,11,Spain
Dec-97,12,Russia
Dec-97,14,Japan
Dec-97,16,Chile
Dec-97,17,Argentina
Dec-97,19,Croatia
Dec-97,22,Netherlands
Dec-97,26,United States
Dec-97,27,South Korea
Dec-97,28,Ecuador
Dec-97,30,Portugal
Dec-97,35,Australia
Dec-97,40,Uruguay
Dec-97,41,Belgium
Dec-97,42,Greece
Dec-97,46,Iran
Dec-97,51,Costa Rica
Dec-97,52,Ivory Coast
Dec-97,53,Cameroon
Dec-97,57,Ghana
Dec-97,59,Algeria
Dec-97,62,Switzerland
Dec-97,71,Nigeria
Dec-97,73,Honduras
Dec-97,99,Bosnia-Herzegovina
Feb-98,1,Brazil
Feb-98,2,Germany
Feb-98,4,Mexico
Feb-98,5,England
Feb-98,6,France
Feb-98,7,Chile
Feb-98,9,Japan
Feb-98,12,United States
Feb-98,14,Italy
Feb-98,15,Colombia
Feb-98,16,Croatia
Feb-98,17,Argentina
Feb-98,20,South Korea
Feb-98,22,Russia
Feb-98,23,Spain
Feb-98,25,Netherlands
Feb-98,31,Ecuador
Feb-98,34,Portugal
Feb-98,35,Australia
Feb-98,40,Uruguay
Feb-98,41,Belgium
Feb-98,42,Greece
Feb-98,45,Ivory Coast
Feb-98,46,Costa Rica
Feb-98,47,Iran
Feb-98,49,Cameroon
Feb-98,54,Ghana
Feb-98,59,Algeria
Feb-98,64,Honduras
Feb-98,67,Nigeria
Feb-98,68,Switzerland
Feb-98,100,Bosnia-Herzegovina
Mar-98,1,Brazil
Mar-98,2,Germany
Mar-98,4,Mexico
Mar-98,5,England
Mar-98,6,Netherlands
Mar-98,7,Argentina
Mar-98,8,Chile
Mar-98,9,Japan
Mar-98,13,Italy
Mar-98,14,France
Mar-98,16,United States
Mar-98,17,Colombia
Mar-98,18,Croatia
Mar-98,23,Russia
Mar-98,24,South Korea
Mar-98,25,Spain
Mar-98,31,Belgium
Mar-98,32,Ecuador
Mar-98,35,Australia
Mar-98,40,Portugal
Mar-98,41,Uruguay
Mar-98,42,Ivory Coast
Mar-98,45,Iran
Mar-98,48,Cameroon
Mar-98,49,Costa Rica
Mar-98,52,Greece
Mar-98,58,Ghana
Mar-98,59,Algeria
Mar-98,65,Nigeria
Mar-98,66,Honduras
Mar-98,69,Switzerland
Mar-98,101,Bosnia-Herzegovina
Apr-98,1,Brazil
Apr-98,2,Germany
Apr-98,4,Mexico
Apr-98,5,England
Apr-98,6,Chile
Apr-98,7,Argentina
Apr-98,9,Spain
Apr-98,11,Japan
Apr-98,13,Colombia
Apr-98,14,Netherlands
Apr-98,15,United States
Apr-98,16,Italy
Apr-98,17,Russia
Apr-98,23,Croatia
Apr-98,24,South Korea
Apr-98,25,France
Apr-98,30,Ecuador
Apr-98,32,Belgium
Apr-98,33,Australia
Apr-98,37,Uruguay
Apr-98,39,Portugal
Apr-98,43,Ivory Coast
Apr-98,46,Iran
Apr-98,48,Cameroon
Apr-98,50,Costa Rica
Apr-98,56,Greece
Apr-98,58,Algeria
Apr-98,60,Ghana
Apr-98,69,Nigeria
Apr-98,70,Switzerland
Apr-98,83,Honduras
Apr-98,102,Bosnia-Herzegovina
May-98,1,Brazil
May-98,2,Germany
May-98,4,Mexico
May-98,5,England
May-98,6,Argentina
May-98,9,Chile
May-98,10,Colombia
May-98,11,United States
May-98,12,Japan
May-98,14,Italy
May-98,15,Spain
May-98,16,Russia
May-98,18,France
May-98,19,Croatia
May-98,20,South Korea
May-98,25,Netherlands
May-98,26,Ecuador
May-98,32,Australia
May-98,36,Belgium
May-98,38,Uruguay
May-98,39,Portugal
May-98,42,Iran
May-98,44,Ivory Coast
May-98,49,Cameroon
May-98,55,Greece
May-98,57,Algeria
May-98,58,Costa Rica
May-98,65,Ghana
May-98,74,Nigeria
May-98,81,Switzerland
May-98,86,Honduras
May-98,102,Bosnia-Herzegovina
Jul-98,1,Brazil
Jul-98,2,France
Jul-98,3,Germany
Jul-98,4,Croatia
Jul-98,5,Argentina
Jul-98,8,Netherlands
Jul-98,9,Italy
Jul-98,10,England
Jul-98,12,Mexico
Jul-98,14,Spain
Jul-98,15,Chile
Jul-98,17,Colombia
Jul-98,19,United States
Jul-98,21,South Korea
Jul-98,22,Japan
Jul-98,28,Russia
Jul-98,31,Belgium
Jul-98,35,Uruguay
Jul-98,37,Iran
Jul-98,38,Australia
Jul-98,40,Cameroon
Jul-98,41,Ecuador
Jul-98,42,Portugal
Jul-98,45,Ivory Coast
Jul-98,50,Greece
Jul-98,51,Costa Rica
Jul-98,63,Algeria
Jul-98,64,Nigeria
Jul-98,65,Ghana
Jul-98,73,Switzerland
Jul-98,86,Honduras
Jul-98,94,Bosnia-Herzegovina
Aug-98,1,Brazil
Aug-98,2,France
Aug-98,3,Germany
Aug-98,4,Croatia
Aug-98,5,Argentina
Aug-98,8,Italy
Aug-98,9,Netherlands
Aug-98,10,England
Aug-98,12,Mexico
Aug-98,14,Spain
Aug-98,15,Chile
Aug-98,18,United States
Aug-98,19,Colombia
Aug-98,21,South Korea
Aug-98,22,Japan
Aug-98,29,Russia
Aug-98,30,Belgium
Aug-98,34,Uruguay
Aug-98,37,Cameroon
Aug-98,38,Iran
Aug-98,39,Australia
Aug-98,43,Portugal
Aug-98,44,Ecuador
Aug-98,49,Ivory Coast
Aug-98,51,Greece
Aug-98,52,Costa Rica
Aug-98,64,Algeria
Aug-98,65,Nigeria
Aug-98,67,Ghana
Aug-98,76,Switzerland
Aug-98,88,Honduras
Aug-98,97,Bosnia-Herzegovina
Sep-98,1,Brazil
Sep-98,2,France
Sep-98,3,Germany
Sep-98,4,Croatia
Sep-98,5,Argentina
Sep-98,7,Italy
Sep-98,9,Netherlands
Sep-98,10,Mexico
Sep-98,11,England
Sep-98,12,Chile
Sep-98,14,Spain
Sep-98,17,United States
Sep-98,20,South Korea
Sep-98,21,Japan
Sep-98,24,Colombia
Sep-98,27,Russia
Sep-98,28,Belgium
Sep-98,35,Uruguay
Sep-98,36,Australia
Sep-98,37,Cameroon
Sep-98,38,Iran
Sep-98,41,Portugal
Sep-98,45,Ivory Coast
Sep-98,50,Costa Rica
Sep-98,51,Ecuador
Sep-98,56,Algeria
Sep-98,60,Ghana
Sep-98,66,Greece
Sep-98,68,Nigeria
Sep-98,77,Switzerland
Sep-98,92,Honduras
Sep-98,95,Bosnia-Herzegovina
Oct-98,1,Brazil
Oct-98,2,France
Oct-98,3,Germany
Oct-98,4,Croatia
Oct-98,5,Argentina
Oct-98,6,Italy
Oct-98,9,Netherlands
Oct-98,10,England
Oct-98,11,Mexico
Oct-98,15,Chile
Oct-98,16,Spain
Oct-98,17,United States
Oct-98,19,South Korea
Oct-98,21,Japan
Oct-98,27,Colombia
Oct-98,31,Belgium
Oct-98,33,Australia
Oct-98,35,Russia
Oct-98,39,Portugal
Oct-98,40,Cameroon
Oct-98,41,Uruguay
Oct-98,43,Ivory Coast
Oct-98,44,Iran
Oct-98,46,Ghana
Oct-98,51,Costa Rica
Oct-98,55,Greece
Oct-98,66,Ecuador
Oct-98,68,Nigeria
Oct-98,69,Algeria
Oct-98,81,Switzerland
Oct-98,91,Bosnia-Herzegovina
Oct-98,94,Honduras
Nov-98,1,Brazil
Nov-98,2,France
Nov-98,3,Germany
Nov-98,4,Croatia
Nov-98,5,Argentina
Nov-98,8,Italy
Nov-98,9,Netherlands
Nov-98,10,Mexico
Nov-98,11,England
Nov-98,15,Spain
Nov-98,16,Chile
Nov-98,19,South Korea
Nov-98,22,United States
Nov-98,30,Japan
Nov-98,32,Colombia
Nov-98,34,Belgium
Nov-98,35,Australia
Nov-98,37,Russia
Nov-98,39,Cameroon
Nov-98,40,Portugal
Nov-98,41,Ivory Coast
Nov-98,44,Iran
Nov-98,47,Uruguay
Nov-98,48,Ghana
Nov-98,54,Greece
Nov-98,61,Algeria
Nov-98,63,Ecuador
Nov-98,65,Nigeria
Nov-98,66,Costa Rica
Nov-98,82,Switzerland
Nov-98,93,Bosnia-Herzegovina
Nov-98,95,Honduras
Dec-98,1,Brazil
Dec-98,2,France
Dec-98,3,Germany
Dec-98,4,Croatia
Dec-98,5,Argentina
Dec-98,7,Italy
Dec-98,9,England
Dec-98,10,Mexico
Dec-98,11,Netherlands
Dec-98,15,Spain
Dec-98,16,Chile
Dec-98,17,South Korea
Dec-98,20,Japan
Dec-98,23,United States
Dec-98,27,Iran
Dec-98,34,Colombia
Dec-98,35,Belgium
Dec-98,36,Portugal
Dec-98,39,Australia
Dec-98,40,Russia
Dec-98,41,Cameroon
Dec-98,44,Ivory Coast
Dec-98,48,Ghana
Dec-98,53,Greece
Dec-98,63,Ecuador
Dec-98,65,Nigeria
Dec-98,67,Costa Rica
Dec-98,71,Algeria
Dec-98,76,Uruguay
Dec-98,83,Switzerland
Dec-98,91,Honduras
Dec-98,96,Bosnia-Herzegovina
Jan-99,1,Brazil
Jan-99,2,France
Jan-99,3,Croatia
Jan-99,4,Italy
Jan-99,5,Germany
Jan-99,6,Argentina
Jan-99,8,Netherlands
Jan-99,9,Spain
Jan-99,11,England
Jan-99,12,Mexico
Jan-99,17,Portugal
Jan-99,20,Chile
Jan-99,21,Belgium
Jan-99,23,United States
Jan-99,27,Colombia
Jan-99,31,Russia
Jan-99,33,Japan
Jan-99,35,South Korea
Jan-99,40,Ivory Coast
Jan-99,41,Ghana
Jan-99,43,Cameroon
Jan-99,46,Greece
Jan-99,47,Iran
Jan-99,50,Australia
Jan-99,57,Nigeria
Jan-99,61,Ecuador
Jan-99,63,Uruguay
Jan-99,65,Switzerland
Jan-99,69,Costa Rica
Jan-99,77,Honduras
Jan-99,78,Algeria
Jan-99,97,Bosnia-Herzegovina
Feb-99,1,Brazil
Feb-99,2,France
Feb-99,3,Croatia
Feb-99,4,Italy
Feb-99,5,Germany
Feb-99,6,Argentina
Feb-99,8,Netherlands
Feb-99,9,Spain
Feb-99,11,England
Feb-99,12,Mexico
Feb-99,17,Portugal
Feb-99,20,Chile
Feb-99,21,Belgium
Feb-99,23,United States
Feb-99,27,Colombia
Feb-99,31,Russia
Feb-99,33,South Korea
Feb-99,34,Japan
Feb-99,40,Greece
Feb-99,42,Ivory Coast
Feb-99,43,Ghana
Feb-99,44,Cameroon
Feb-99,47,Iran
Feb-99,50,Australia
Feb-99,52,Ecuador
Feb-99,60,Switzerland
Feb-99,64,Nigeria
Feb-99,65,Uruguay
Feb-99,69,Costa Rica
Feb-99,77,Algeria
Feb-99,78,Honduras
Feb-99,98,Bosnia-Herzegovina
Mar-99,1,Brazil
Mar-99,2,France
Mar-99,3,Croatia
Mar-99,4,Italy
Mar-99,5,Germany
Mar-99,6,Argentina
Mar-99,8,Netherlands
Mar-99,9,Spain
Mar-99,11,England
Mar-99,12,Mexico
Mar-99,17,Portugal
Mar-99,21,Chile
Mar-99,22,Belgium
Mar-99,23,United States
Mar-99,28,Colombia
Mar-99,31,Russia
Mar-99,34,Greece
Mar-99,36,South Korea
Mar-99,37,Japan
Mar-99,42,Ivory Coast
Mar-99,43,Ghana
Mar-99,44,Cameroon
Mar-99,45,Iran
Mar-99,51,Australia
Mar-99,55,Ecuador
Mar-99,61,Nigeria
Mar-99,63,Switzerland
Mar-99,65,Uruguay
Mar-99,68,Costa Rica
Mar-99,72,Algeria
Mar-99,80,Honduras
Mar-99,97,Bosnia-Herzegovina
Apr-99,1,Brazil
Apr-99,2,France
Apr-99,3,Germany
Apr-99,4,Italy
Apr-99,6,Croatia
Apr-99,7,Argentina
Apr-99,8,Spain
Apr-99,9,Netherlands
Apr-99,10,England
Apr-99,13,Mexico
Apr-99,15,Portugal
Apr-99,21,Chile
Apr-99,24,United States
Apr-99,25,Belgium
Apr-99,30,Colombia
Apr-99,33,Russia
Apr-99,35,Greece
Apr-99,36,South Korea
Apr-99,40,Japan
Apr-99,42,Cameroon
Apr-99,43,Ivory Coast
Apr-99,44,Ghana
Apr-99,47,Iran
Apr-99,51,Switzerland
Apr-99,53,Australia
Apr-99,55,Ecuador
Apr-99,61,Nigeria
Apr-99,64,Costa Rica
Apr-99,67,Uruguay
Apr-99,68,Algeria
Apr-99,70,Honduras
Apr-99,97,Bosnia-Herzegovina
May-99,1,Brazil
May-99,2,France
May-99,3,Germany
May-99,4,Italy
May-99,6,Croatia
May-99,7,Argentina
May-99,8,Spain
May-99,9,Netherlands
May-99,11,England
May-99,13,Mexico
May-99,15,Portugal
May-99,23,Chile
May-99,24,United States
May-99,27,Belgium
May-99,31,Colombia
May-99,33,Russia
May-99,34,South Korea
May-99,37,Greece
May-99,41,Japan
May-99,43,Cameroon
May-99,45,Ivory Coast
May-99,46,Ghana
May-99,47,Iran
May-99,51,Switzerland
May-99,54,Australia
May-99,55,Ecuador
May-99,61,Nigeria
May-99,65,Costa Rica
May-99,67,Uruguay
May-99,68,Algeria
May-99,70,Honduras
May-99,96,Bosnia-Herzegovina
Jun-99,1,Brazil
Jun-99,2,France
Jun-99,4,Italy
Jun-99,5,Germany
Jun-99,6,Spain
Jun-99,7,Croatia
Jun-99,8,Argentina
Jun-99,10,Netherlands
Jun-99,12,Portugal
Jun-99,13,England
Jun-99,14,Mexico
Jun-99,24,Russia
Jun-99,29,Chile
Jun-99,30,Belgium
Jun-99,31,United States
Jun-99,32,Colombia
Jun-99,36,Greece
Jun-99,38,South Korea
Jun-99,42,Japan
Jun-99,43,Ivory Coast
Jun-99,44,Iran
Jun-99,45,Ghana
Jun-99,48,Cameroon
Jun-99,49,Ecuador
Jun-99,51,Switzerland
Jun-99,56,Australia
Jun-99,67,Costa Rica
Jun-99,68,Nigeria
Jun-99,70,Honduras
Jun-99,72,Algeria
Jun-99,74,Uruguay
Jun-99,90,Bosnia-Herzegovina
Jul-99,1,Brazil
Jul-99,2,France
Jul-99,4,Italy
Jul-99,5,Germany
Jul-99,6,Argentina
Jul-99,7,Croatia
Jul-99,8,Spain
Jul-99,11,Mexico
Jul-99,12,Portugal
Jul-99,13,Netherlands
Jul-99,14,England
Jul-99,18,Colombia
Jul-99,22,Chile
Jul-99,27,Russia
Jul-99,30,United States
Jul-99,33,Belgium
Jul-99,35,Greece
Jul-99,37,South Korea
Jul-99,42,Uruguay
Jul-99,44,Japan
Jul-99,45,Ivory Coast
Jul-99,46,Ghana
Jul-99,50,Iran
Jul-99,51,Cameroon
Jul-99,54,Switzerland
Jul-99,56,Ecuador
Jul-99,61,Australia
Jul-99,68,Costa Rica
Jul-99,69,Algeria
Jul-99,70,Nigeria
Jul-99,72,Honduras
Jul-99,90,Bosnia-Herzegovina
Aug-99,1,Brazil
Aug-99,2,France
Aug-99,4,Italy
Aug-99,5,Germany
Aug-99,6,Argentina
Aug-99,7,Spain
Aug-99,8,Croatia
Aug-99,9,Mexico
Aug-99,12,Portugal
Aug-99,13,Netherlands
Aug-99,14,England
Aug-99,18,Colombia
Aug-99,21,United States
Aug-99,23,Chile
Aug-99,28,Russia
Aug-99,33,Belgium
Aug-99,37,Greece
Aug-99,39,South Korea
Aug-99,43,Uruguay
Aug-99,44,Ghana
Aug-99,45,Ivory Coast
Aug-99,46,Japan
Aug-99,51,Iran
Aug-99,53,Cameroon
Aug-99,54,Switzerland
Aug-99,57,Ecuador
Aug-99,62,Australia
Aug-99,68,Costa Rica
Aug-99,73,Honduras
Aug-99,75,Nigeria
Aug-99,77,Algeria
Aug-99,90,Bosnia-Herzegovina
Sep-99,1,Brazil
Sep-99,3,France
Sep-99,4,Spain
Sep-99,5,Germany
Sep-99,6,Croatia
Sep-99,7,Argentina
Sep-99,8,Italy
Sep-99,10,Mexico
Sep-99,12,England
Sep-99,13,Portugal
Sep-99,14,Netherlands
Sep-99,19,Russia
Sep-99,20,United States
Sep-99,23,Colombia
Sep-99,24,Chile
Sep-99,32,Belgium
Sep-99,37,Greece
Sep-99,40,South Korea
Sep-99,41,Uruguay
Sep-99,47,Ghana
Sep-99,48,Ivory Coast
Sep-99,50,Iran
Sep-99,51,Japan
Sep-99,53,Switzerland
Sep-99,54,Cameroon
Sep-99,60,Ecuador
Sep-99,64,Australia
Sep-99,67,Costa Rica
Sep-99,75,Honduras
Sep-99,76,Nigeria
Sep-99,79,Algeria
Sep-99,89,Bosnia-Herzegovina
Oct-99,1,Brazil
Oct-99,3,France
Oct-99,4,Spain
Oct-99,5,Germany
Oct-99,6,Croatia
Oct-99,8,Argentina
Oct-99,10,Italy
Oct-99,11,Mexico
Oct-99,12,England
Oct-99,13,Portugal
Oct-99,16,Netherlands
Oct-99,19,Russia
Oct-99,22,United States
Oct-99,23,Chile
Oct-99,26,Colombia
Oct-99,30,Greece
Oct-99,32,Belgium
Oct-99,40,South Korea
Oct-99,42,Uruguay
Oct-99,48,Iran
Oct-99,49,Ivory Coast
Oct-99,50,Switzerland
Oct-99,51,Japan
Oct-99,54,Ghana
Oct-99,56,Cameroon
Oct-99,61,Ecuador
Oct-99,67,Costa Rica
Oct-99,74,Australia
Oct-99,75,Honduras
Oct-99,76,Bosnia-Herzegovina
Oct-99,77,Nigeria
Oct-99,81,Algeria
Nov-99,1,Brazil
Nov-99,2,France
Nov-99,4,Spain
Nov-99,5,Germany
Nov-99,6,Croatia
Nov-99,7,Argentina
Nov-99,10,Mexico
Nov-99,11,England
Nov-99,12,Italy
Nov-99,15,Portugal
Nov-99,17,Netherlands
Nov-99,19,Russia
Nov-99,21,United States
Nov-99,22,Chile
Nov-99,25,Colombia
Nov-99,30,Belgium
Nov-99,34,Greece
Nov-99,41,South Korea
Nov-99,42,Uruguay
Nov-99,46,Iran
Nov-99,49,Switzerland
Nov-99,51,Ivory Coast
Nov-99,52,Japan
Nov-99,55,Ghana
Nov-99,56,Cameroon
Nov-99,62,Ecuador
Nov-99,69,Costa Rica
Nov-99,74,Bosnia-Herzegovina
Nov-99,77,Honduras
Nov-99,82,Nigeria
Nov-99,85,Australia
Nov-99,88,Algeria
Dec-99,1,Brazil
Dec-99,3,France
Dec-99,4,Spain
Dec-99,5,Germany
Dec-99,6,Argentina
Dec-99,9,Croatia
Dec-99,10,Mexico
Dec-99,12,England
Dec-99,14,Italy
Dec-99,15,Portugal
Dec-99,18,Russia
Dec-99,19,Netherlands
Dec-99,22,United States
Dec-99,23,Chile
Dec-99,25,Colombia
Dec-99,33,Belgium
Dec-99,34,Greece
Dec-99,46,Uruguay
Dec-99,47,Switzerland
Dec-99,48,Ghana
Dec-99,49,Iran
Dec-99,51,South Korea
Dec-99,53,Ivory Coast
Dec-99,57,Japan
Dec-99,58,Cameroon
Dec-99,64,Costa Rica
Dec-99,65,Ecuador
Dec-99,69,Honduras
Dec-99,75,Bosnia-Herzegovina
Dec-99,76,Nigeria
Dec-99,86,Algeria
Dec-99,89,Australia
Jan-00,1,Brazil
Jan-00,3,France
Jan-00,4,Spain
Jan-00,5,Germany
Jan-00,6,Argentina
Jan-00,9,Croatia
Jan-00,10,Mexico
Jan-00,12,England
Jan-00,14,Italy
Jan-00,15,Portugal
Jan-00,18,Russia
Jan-00,19,Netherlands
Jan-00,22,United States
Jan-00,23,Chile
Jan-00,24,Colombia
Jan-00,33,Belgium
Jan-00,34,Greece
Jan-00,43,Iran
Jan-00,47,Uruguay
Jan-00,48,Switzerland
Jan-00,49,Ivory Coast
Jan-00,50,Ghana
Jan-00,52,South Korea
Jan-00,57,Cameroon
Jan-00,58,Japan
Jan-00,64,Costa Rica
Jan-00,65,Ecuador
Jan-00,71,Honduras
Jan-00,75,Bosnia-Herzegovina
Jan-00,76,Nigeria
Jan-00,86,Algeria
Jan-00,90,Australia
Feb-00,1,Brazil
Feb-00,3,France
Feb-00,4,Spain
Feb-00,5,Germany
Feb-00,6,Argentina
Feb-00,9,Croatia
Feb-00,10,Mexico
Feb-00,11,England
Feb-00,14,Italy
Feb-00,15,Portugal
Feb-00,18,Russia
Feb-00,19,Netherlands
Feb-00,22,United States
Feb-00,24,Colombia
Feb-00,26,Chile
Feb-00,33,Belgium
Feb-00,34,Cameroon
Feb-00,36,Greece
Feb-00,42,Uruguay
Feb-00,46,Ivory Coast
Feb-00,47,Iran
Feb-00,48,South Korea
Feb-00,51,Nigeria
Feb-00,52,Switzerland
Feb-00,53,Ghana
